Compound,Date,Negative,Neutral,Positive,Tweet,Tweets_Ago,User
0.1027,Sat Jan 27 18:07:43 +0000 2018,0.909,0.0,0.091,"RT @BBCiPlayer: Question everything.
Requiem. 
The new psychological thriller available on iPlayer 2nd February 😳 https://t.co/oZcucUgada",67,@BBC
0.0,Sat Jan 27 18:07:33 +0000 2018,1.0,0.0,0.0,"RT @BBCOne: #AllTogetherNow = Saturday night telly, but not as you know it! 
Tonight. 7.15pm. @BBCOne. https://t.co/3wjbAQ0oZ6",68,@BBC
0.0,Sat Jan 27 18:05:04 +0000 2018,1.0,0.0,0.0,"🎤✨ @RobBeckettComic presents a singing contest with a twist, as singers perform in front of a panel of 100 musical… https://t.co/bmDU1sDRiz",69,@BBC
0.1695,Sat Jan 27 17:30:02 +0000 2018,0.878,0.0,0.122,Down's syndrome hasn't stopped this 21-year-old entrepreneur making millions selling colourful socks. https://t.co/VxVAsAs2Hh,70,@BBC
0.4588,Sat Jan 27 17:00:10 +0000 2018,0.833,0.0,0.167,"🦁🐒🐍 @ChesterZoo's done it's annual census. 

You won't believe how many cute animals live there... https://t.co/IbaTuBfeow",71,@BBC
0.0,Sat Jan 27 16:30:11 +0000 2018,1.0,0.0,0.0,"💃🎤 Dust off your disco pants! 

Princess of Pop, @KylieMinogue is back! 
👉 https://t.co/DaE0XsHEzN https://t.co/U0MPKykEbA",72,@BBC
0.1027,Sat Jan 27 16:00:09 +0000 2018,0.783,0.1,0.117,"'I’m a young and healthy man and I think I look disgusting.'

The story of one man's struggle with body image.
👉… https://t.co/J0lZGUfG1b",73,@BBC
0.0,Sat Jan 27 15:30:30 +0000 2018,1.0,0.0,0.0,RT @BBCNewsround: Read our guide to Holocaust Memorial Day here: https://t.co/BA3zmBCTa1 https://t.co/s4GqYnYyZc,74,@BBC
-0.5517,Sat Jan 27 15:00:09 +0000 2018,0.822,0.178,0.0,"😂😈 The judge wasn't sure if Satan could be prosecuted as he was technically a foreign prince, so might be able to c… https://t.co/Fx5QOZV7id",75,@BBC
0.0,Sat Jan 27 14:00:07 +0000 2018,1.0,0.0,0.0,✨ #Vegan mayo magic. 🙌 https://t.co/d8oB0dlkWR,76,@BBC
0.0,Sat Jan 27 13:30:09 +0000 2018,1.0,0.0,0.0,"🍩 We all know what makes us fat - eating more calories than we burn.

But why do we overeat in the first place? 
👉… https://t.co/F1ghOVexKk",77,@BBC
-0.5719,Sat Jan 27 12:55:04 +0000 2018,0.837,0.163,0.0,"🎬 @RyanGosling stars as a driver who works for the Hollywood cinema industry by day and for criminals at night.

Dr… https://t.co/vKHIoqtDBi",78,@BBC
0.0,Sat Jan 27 12:30:08 +0000 2018,1.0,0.0,0.0,🌴 @SqueezeOfficial brought a slice of Cuba to @achrisevans' studio this week with this @Camila_Cabello cover! https://t.co/YPkE2q8wEh,79,@BBC
0.0258,Sat Jan 27 12:00:04 +0000 2018,0.629,0.182,0.189,🐛😋 Could caterpillar farms help fight malnutrition in West Africa? https://t.co/IhhwKw45h7,80,@BBC
0.0,Sat Jan 27 11:30:06 +0000 2018,1.0,0.0,0.0,"12 people around the coast of England and Wales explain how they ended up sleeping rough. 
👉 https://t.co/byvngvErUk https://t.co/6iLhFDV6Z2",81,@BBC
0.4404,Sat Jan 27 10:59:56 +0000 2018,0.791,0.0,0.209,"RT @BBCSport: Find us a better costume at a sporting event.

We'll wait... https://t.co/DnvmXWiBT9",82,@BBC
0.4588,Sat Jan 27 10:58:52 +0000 2018,0.8,0.0,0.2,RT @BBCNewsEnts: Everything you need to know about tomorrow's #Grammy Awards. https://t.co/dhzNcGoVmA https://t.co/JEc3tpK5Cz,83,@BBC
-0.4215,Sat Jan 27 10:56:21 +0000 2018,0.763,0.237,0.0,"😱 We can't believe @TomCruise only broke his ankle.

#TheGNShow https://t.co/Er4fmjlw9n",84,@BBC
0.0,Sat Jan 27 10:37:34 +0000 2018,1.0,0.0,0.0,"RT @BBC6Music: You can listen back to Cillian Murphy’s 2-Hour show featuring tunes from @FeistMusic, @mwardtweeting, @lauramarlinghq, @TheR…",85,@BBC
-0.3182,Sat Jan 27 10:30:05 +0000 2018,0.874,0.126,0.0,"🌱🐘 Growers of world-famous Assam tea are encroaching into forests, fuelling a conflict between elephants and humans… https://t.co/79maSLQZyg",86,@BBC
0.1531,Sat Jan 27 10:00:08 +0000 2018,0.667,0.147,0.187,"💍🏺 What treasures have you got hiding in your house? 

#AntiquesRoadshow https://t.co/pZqRFbtehK",87,@BBC
0.0772,Sat Jan 27 10:00:03 +0000 2018,0.936,0.0,0.064,"Want to reduce your power use? 

🎶 Turn this up &amp; TURN  IT OFF. 💡

⚡️ Check out #TerrificScientific's power investi… https://t.co/4MR9YorDWU",88,@BBC
0.0,Sat Jan 27 09:53:28 +0000 2018,1.0,0.0,0.0,"RT @cbbc: Our favourite Nikkis, @NicoleScherzy and @nikkilillyy hang out, catch up and eat some sh-amazing cupcakes ✨🍰✨ Watch it here 👉 htt…",89,@BBC
